kernel_type,mean_acc,std_acc,ci_half,n_runs
normal,0.7047619047619047,0.04205600412537067,0.052219426230781844,5
binary,0.72,0.05111012519999521,0.06346160240452113,5
ternary,0.7371428571428572,0.03845072235845017,0.0477428776574162,5
