kernel_type,run,acc
normal,1,0.7238095238095238
normal,2,0.7333333333333333
normal,3,0.7238095238095238
normal,4,0.7333333333333333
normal,5,0.7142857142857143
normal,6,0.7428571428571429
normal,7,0.7619047619047619
normal,8,0.7142857142857143
normal,9,0.7523809523809524
normal,10,0.7333333333333333
normal,11,0.7523809523809524
normal,12,0.7428571428571429
normal,13,0.7333333333333333
normal,14,0.7142857142857143
normal,15,0.7333333333333333
normal,16,0.7238095238095238
normal,17,0.7333333333333333
normal,18,0.7619047619047619
normal,19,0.7238095238095238
normal,20,0.7238095238095238
normal,21,0.7047619047619048
normal,22,0.7333333333333333
normal,23,0.7333333333333333
normal,24,0.7238095238095238
normal,25,0.7333333333333333
normal,26,0.7142857142857143
normal,27,0.7333333333333333
normal,28,0.7428571428571429
normal,29,0.7333333333333333
normal,30,0.7428571428571429
binary,1,0.7047619047619048
binary,2,0.7142857142857143
binary,3,0.6952380952380952
binary,4,0.7142857142857143
binary,5,0.6952380952380952
binary,6,0.7142857142857143
binary,7,0.6857142857142857
binary,8,0.6857142857142857
binary,9,0.7142857142857143
binary,10,0.6952380952380952
binary,11,0.6952380952380952
binary,12,0.6952380952380952
binary,13,0.7142857142857143
binary,14,0.7142857142857143
binary,15,0.7238095238095238
binary,16,0.7142857142857143
binary,17,0.7142857142857143
binary,18,0.7142857142857143
binary,19,0.7047619047619048
binary,20,0.6761904761904762
binary,21,0.7142857142857143
binary,22,0.7047619047619048
binary,23,0.7047619047619048
binary,24,0.6857142857142857
binary,25,0.6857142857142857
binary,26,0.7047619047619048
binary,27,0.7142857142857143
binary,28,0.7047619047619048
binary,29,0.7142857142857143
binary,30,0.7047619047619048
ternary,1,0.6952380952380952
ternary,2,0.7142857142857143
ternary,3,0.6857142857142857
ternary,4,0.6857142857142857
ternary,5,0.6761904761904762
ternary,6,0.7047619047619048
ternary,7,0.6761904761904762
ternary,8,0.7047619047619048
ternary,9,0.6761904761904762
ternary,10,0.6857142857142857
ternary,11,0.6666666666666666
ternary,12,0.7047619047619048
ternary,13,0.7047619047619048
ternary,14,0.6952380952380952
ternary,15,0.7142857142857143
ternary,16,0.7142857142857143
ternary,17,0.6761904761904762
ternary,18,0.6952380952380952
ternary,19,0.6761904761904762
ternary,20,0.6857142857142857
ternary,21,0.6952380952380952
ternary,22,0.7047619047619048
ternary,23,0.6952380952380952
ternary,24,0.6952380952380952
ternary,25,0.7047619047619048
ternary,26,0.6952380952380952
ternary,27,0.6952380952380952
ternary,28,0.6857142857142857
ternary,29,0.6952380952380952
ternary,30,0.7047619047619048
