kernel_type,mean_acc,std_acc,ci_half,n_runs
normal,0.7323809523809526,0.013778630298576119,0.0051450251096094145,30
binary,0.7041269841269843,0.011977337615806794,0.004472411367765886,30
ternary,0.6936507936507937,0.01277345097695049,0.00476968498237206,30
